LinkID,ExerciseID,ProductID,VideoTitle,VideoURL,Sport,Body Part,Level
V415,,P06,Neck Pain Relief - Resistance Bands - Standing Bug,https://www.youtube.com/watch?v=kmIUUY89Tbo,,,
V414,,P03,Core - Super Set - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=D-3tVeXeh7A,,,
V413,,P01,Shoulder Mobility - RMT® Club - Shoulder Circles,https://www.youtube.com/watch?v=uDJUG8-oxlY,,,
V412,,P01,RMT® Club - Super Set - Pressing Focus,https://www.youtube.com/watch?v=ObLC_bZz-R8,,,
V411,,P05,SoleSteps® Q&A Part 3: Footwear When Using,https://www.youtube.com/watch?v=F8ibCTPfLGI,,,
V410,,P05,SoleSteps® Q&A Part 2: Duration of Use,https://www.youtube.com/watch?v=rG4FPzdQYNQ,,,
V409,,P05,SoleSteps® Q&A Part 1: Shape & Key Points,https://www.youtube.com/watch?v=bnUihROeLp8,,,
V408,,P05,How to Use Your SoleSteps®,https://www.youtube.com/watch?v=JyR9sG9KDGk,,,
V407,,P03,Train Harder with ProPulse® Speed Trainers,https://www.youtube.com/watch?v=65QQcXBE8Ho,,,
V406,,P03,Training with ProPulse® Speed Trainers: Reverse Lunge,https://www.youtube.com/watch?v=-slPSJCWxp0,,,
V405,Box Jump,P03,Training with ProPulse® Speed Trainers: Box Jumps,https://www.youtube.com/watch?v=y-4gewR7H-I,,,
V404,,P03,Training with ProPulse® Speed Trainers: Lateral Hops,https://www.youtube.com/watch?v=W7ubZeNvMWY,,,
V403,,P05,SoleSteps® for Fitness Training: Chris Daly from S10 Fitness,https://www.youtube.com/watch?v=a-8nEq3mzcg,,,
V402,,P05,Physical Therapist's Opinion of SoleSteps®: Arsen from Prehab,https://www.youtube.com/watch?v=SiSGUsXMOUM,,,
V401,,P05,Ankle & Foot Prehab with SoleSteps®: Advanced Level,https://www.youtube.com/watch?v=ohzZbrZC2hs,,,
V400,,P05,Ankle & Foot Prehab with SoleSteps®: Intermediate Level,https://www.youtube.com/watch?v=FlEmEw-mYmE,,,
V399,,P05,Ankle & Foot Prehab with SoleSteps®: Beginner Level,https://www.youtube.com/watch?v=h1_hb7xlJAg,,,
V398,,P05,SoleSteps®: Uplifting Human Soles,https://www.youtube.com/watch?v=oA4dYbq9-JA,,,
V397,,P05,Training with SoleSteps®: Squat Variations,https://www.youtube.com/watch?v=j-G0yEt_cJo,,,
V396,,P05,Training with SoleSteps®: Overhead Press Variations,https://www.youtube.com/watch?v=XrZd2i-fpKE,,,
V395,,P06,Improve Your Bicep Curls with Resistance Bands,https://www.youtube.com/watch?v=UJL0IINZG9I,,,
V394,,P06,Improve Your Rows with Resistance Bands,https://www.youtube.com/watch?v=tuIB1_iTonk,,,
V393,,P06,Improve Your Kettlebell Training with Resistance Bands,https://www.youtube.com/watch?v=zbA2TqnXOgM,,,
V392,,P06,Improve Your Tricep Extensions with Resistance Bands,https://www.youtube.com/watch?v=SHquCarV4wc,,,
V391,,P03,ProPulse Speed Trainers: Lateral Cut Drill to Improve Athletic Performance,https://www.youtube.com/watch?v=cvkGtS6IcSA,,,
V390,,P03,ProPulse Speed Trainers: Bicycle Crunch to Improve Athletic Performance,https://www.youtube.com/watch?v=Hhd1IORJBiM,,,
V389,,P03,ProPulse Speed Trainers: RDL With Bands to Improve Athletic Performance,https://www.youtube.com/watch?v=N3h9lSE6MWs,,,
V388,,P03,ProPulse Speed Trainers: Kettlebell One Arm Swing to Improve Athletic Performance,https://www.youtube.com/watch?v=7yhma-u6414,,,
V387,,P03,ProPulse Speed Trainers: Kettlebell Reverse Lunge to Improve Athletic Performance,https://www.youtube.com/watch?v=lqtC9Gz3ERQ,,,
V386,,P03,ProPulse Speed Trainers: V Tuck to Improve Athletic Performance,https://www.youtube.com/watch?v=YeEEZAYgYa8,,,
V385,,P03,ProPulse Speed Trainers: Single Leg RDL to Improve Athletic Performance,https://www.youtube.com/watch?v=vn0Or53VnoY,,,
V384,,P03,ProPulse Speed Trainers: Speed Skaters to Improve Athletic Performance,https://www.youtube.com/watch?v=AeUAq3xCHcM,,,
V383,,P03,ProPulse Speed Trainers: Box Drill to Improve Athletic Performance,https://www.youtube.com/watch?v=bDO2hAsolso,,,
V382,,P03,ProPulse Speed Trainers: Step Press to Improve Athletic Performance,https://www.youtube.com/watch?v=S7y_wEV_gk4,,,
V381,,P03,Running Variations With & Without ProPulse Speed Trainers,https://www.youtube.com/watch?v=SGaFeFktl3w,,,
V380,,P03,Running Techniques With ProPulse Speed Trainers: Shift Pulsing,https://www.youtube.com/watch?v=onjFrubTRAA,,,
V379,,P03,Running With ProPulse Speed Trainers,https://www.youtube.com/watch?v=gaQrnsKCCqQ,,,
V378,,P03,Fight Drills: Using ProPulsers for Shadow Boxing,https://www.youtube.com/watch?v=eUOGzVUV1w4,,,
V377,,P03,Fight Drills: Using ProPulsers for Jab Progression,https://www.youtube.com/watch?v=YOHWJRNu1rk,,,
V376,,P03,Fight Drills: Using ProPulsers for Hook Variations,https://www.youtube.com/watch?v=dtHqdsKYtbY,,,
V375,,P03,Baseball Drills: Using ProPulsers for Faster Pop Time,https://www.youtube.com/watch?v=RgckV9MzCHw,,,
V374,,P03,Baseball Drills: Using ProPulsers for Base Stealing,https://www.youtube.com/watch?v=OR4JbaVBc3I,,,
V373,,P03,Baseball Drills: Using ProPulsers for Quick Transfers,https://www.youtube.com/watch?v=j2IPDO3wmfk,,,
V372,,P03,World Series Champion Austin Barnes on using ProPulse Speed Trainers,https://www.youtube.com/watch?v=rEDaW3Am3s0,,,
V371,,P03,Running and Training with the ProPulse Speed Trainers,https://www.youtube.com/watch?v=yYw1qysAsAc,,,
V370,,P02,Get Better on Your Snowboard with the BOSU Elite,https://www.youtube.com/watch?v=WRVFEzQLIDA,,,
V369,,P02,Get Better on Your Surfboard with the BOSU Elite,https://www.youtube.com/watch?v=Tqx4J6b0Xu8,,,
V368,,P01,RMT Club Sizing for Baseball: How to Pick the Right Size,https://www.youtube.com/watch?v=PGGw87rSfpY,,,
V367,,P03,"ProPulse Speed Trainers for Running: Cadence, Rhythm, and Efficiency",https://www.youtube.com/watch?v=YltGdjyCMQU,,,
V366,,P02,How the BOSU Elite Came to Be,https://www.youtube.com/watch?v=LF2dYpSpgPM,,,
V365,,P03,ProPulse® Speed Trainers: Trusted by the Best,https://www.youtube.com/watch?v=dIqPK9AKF38,,,
V364,,,Jordan Burroughs x WeckMethod | Innovate Your Training,https://www.youtube.com/watch?v=cRKZ-nOvOzE,,,
V363,,P03,ProPulse® Speed Trainers for Running | Athlete Jerome Avery,https://www.youtube.com/watch?v=zw4JQRYmR6o,,,
V362,,P01,The RMT Club for Golf: Everything You Need to Improve Your Game,https://www.youtube.com/watch?v=OsiUZ-6ejuE,,,
V361,,P01,The RMT Club for Tennis: Everything You Need to Improve Your Game,https://www.youtube.com/watch?v=lJS_n7vXA_g,,,
V360,,,The Lab Workouts: Fluid Strength Series - Full Body 2,https://www.youtube.com/watch?v=jJDti-MwbKw,,,
V359,,,The Lab Workouts: Fluid Strength Series - Full Body 1,https://www.youtube.com/watch?v=BX79PkfR1jo,,,
V358,,,WeckMethod x The Boxing Club Promo,https://www.youtube.com/watch?v=Zr7zMG5NV2s,,,
V357,,P01,Boston Red Sox Using the RMT® Club,https://www.youtube.com/watch?v=CdYl8XmlAjY,,,
V356,,P03,Boston Red Sox Using the ProPulse® Speed Trainers,https://www.youtube.com/watch?v=xIzuITcCJZI,,,
V355,,,Holiday Vlog | Getting Festive at WeckMethod,https://www.youtube.com/watch?v=OX2uZVeakcE,,,
V354,,,The Lab Workouts: Fluid Strength Series - Lower Body / Hinging,https://www.youtube.com/watch?v=TM3WQU1PdmA,,,
V353,,P03,Baseball Fielding with the ProPulse Speed Trainers,https://www.youtube.com/watch?v=97S-82ASnxg,,,
V352,,,The Pursuit of Excellence: 2020 Virtual Event with Noah’s Army,https://www.youtube.com/watch?v=OZQl1-tou0s,,,
V351,,,The Lab Workouts: Fluid Strength Series - Abs,https://www.youtube.com/watch?v=Fuq-Dahfw-8,,,
V350,,,The Lab Workouts: Fluid Strength Series - Back,https://www.youtube.com/watch?v=6tEvJaZoPts,,,
V349,,,The Lab Workouts: Fluid Strength Series - Upper Body / Pulling,https://www.youtube.com/watch?v=-_8A8OvaJx8,,,
V348,,,The Lab Workouts: Fluid Strength Series - Lower Body / Squats,https://www.youtube.com/watch?v=a53ux4kTDdM,,,
V347,,,The Lab Workouts: Fluid Strength Series - Upper Body / Pushing,https://www.youtube.com/watch?v=xzZtjC-bldc,,,
V346,,,The Lab Workouts: Foundation Series - Full Body 2,https://www.youtube.com/watch?v=Q1yyBKnK74o,,,
V345,,,The Lab Workouts: Foundation Series - Full Body 1,https://www.youtube.com/watch?v=i6ql0LK7Ij4,,,
V344,,,The Lab Workouts: Foundation Series - Back,https://www.youtube.com/watch?v=Pzzd4Xfv-jo,,,
V343,,,The Lab Workouts: Foundation Series - Abs,https://www.youtube.com/watch?v=BOdTv6fvVVU,,,
V342,,,The Lab Workouts: Foundation Series - Lower Body / Hinging,https://www.youtube.com/watch?v=tgE4-iJjWLk,,,
V341,,,The Lab Workouts: Foundation Series - Upper Body / Pushing,https://www.youtube.com/watch?v=_eLperqZRyY,,,
V340,,,The Lab Workouts: Foundation Series - Lower Body / Squats,https://www.youtube.com/watch?v=hLg8B7c9ATU,,,
V339,,,The Lab Workouts: Foundation Series - Upper Body / Pulling,https://www.youtube.com/watch?v=xp4ICKtAAmQ,,,
V338,,P01,Mobility Work with the RMT Club,https://www.youtube.com/watch?v=Re_lhluvIFA,,,
V337,,P01,Features & Benefits of the RMT Club,https://www.youtube.com/watch?v=7c2GKATfntw,,,
V336,,,VLOG #2: WeckMethod in Nebraska,https://www.youtube.com/watch?v=MfnTV1J63LI,,,
V335,,P01,Target Your Back Pain: Crunches with the RMT Club,https://www.youtube.com/watch?v=v8XkdjnZDU4,,,
V334,,,Olympian Jordan Burroughs Answers Your Questions,https://www.youtube.com/watch?v=ow1eHwA0yHk,,,
V333,,,Rotational Movement Training® Introduction,https://www.youtube.com/watch?v=z-JTfQU-TKQ,,,
V332,,P03,ProPulse® Speed Trainers: Double Down Pulse Technique,https://www.youtube.com/watch?v=ZTKYs02xGNQ,,,
V331,,P06,Beginner Home Workout - Limit Force Elastic® Training Bands,https://www.youtube.com/watch?v=lvvNrqrIVGc,,,
V330,,P06,Intermediate Home Workout - Limit Force Elastic® Training Bands,https://www.youtube.com/watch?v=lN29-TYYu7Q,,,
V329,,P06,Advanced Home Workout - Limit Force Elastic® Training Bands,https://www.youtube.com/watch?v=1wxXc1CZ6EU,,,
V328,,,The Royal Coil of Priming - Coiling Core Training®,https://www.youtube.com/watch?v=TnNjZRj1EkM,,,
V327,,,Limit Force Elastic® & Compression Training,https://www.youtube.com/watch?v=H92IXCboLgs,,,
V326,,,VLOG #1: Welcome to WeckMethod,https://www.youtube.com/watch?v=v7xuifLZ5OM,,,
V325,,P02,What is Priming? Priming Explained with the BOSU® Elite,https://www.youtube.com/watch?v=4XkpQeZMTIc,,,
V324,,P02,Strength & Conditioning: Bench Press - BOSU® Elite,https://www.youtube.com/watch?v=IIh2VqbiHDs,,,
V323,,P02,Strength & Conditioning: Deadlifts - BOSU® Elite,https://www.youtube.com/watch?v=Cs4onJOEMpU,,,
V322,,P02,Strength & Conditioning: Goblet Squat - BOSU® Elite,https://www.youtube.com/watch?v=v-JGKtMYbTQ,,,
V321,,P02,Strength & Conditioning: Split Squats - BOSU® Elite,https://www.youtube.com/watch?v=TTzj2JQSVDA,,,
V320,,P02,Advanced Home Workout - BOSU® Elite,https://www.youtube.com/watch?v=pPk3YkEnOM8,,,
V319,,P02,Beginner Home Workout - BOSU® Elite,https://www.youtube.com/watch?v=fCRfedW2Jj4,,,
V318,,P02,Intermediate Home Workout - BOSU® Elite,https://www.youtube.com/watch?v=JjuKKLAZSEI,,,
V317,,P02,Ballistics: Split Jumps - BOSU Elite,https://www.youtube.com/watch?v=9YDT7RuDRBw,,,
V316,,P02,Follow Along Upper Body & Core Workout - BOSU® Elite 2,https://www.youtube.com/watch?v=4euUB9he9Pw,,,
V315,,P02,Follow Along Lower Body & Core Workout - BOSU® Elite 1,https://www.youtube.com/watch?v=18NsvQb7RQE,,,
V314,,P03,Basketball: Pulsing - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=bS6P1KmZgSw,,,
V313,,P03,Basketball: Defensive Shuffle - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=86jMocLFog0,,,
V312,,P03,Basketball: Free Hops - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=frA4ntGEefw,,,
V311,,P03,Beginner Home Workout - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=Wap29hpmvtw,,,
V310,,P03,Intermediate Home Workout - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=mbgVAD4SDVg,,,
V309,,P03,Advanced Home Workout - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=2O2yYlYCeFk,,,
V308,,P03,Training: Same Side Pulsing - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=npM_5Puk-L4,,,
V307,,P03,Training: Press Pop - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=8i3lW9i6ue0,,,
V306,,P03,Training: Pop Rocks - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=N4HIj91cOl4,,,
V305,,P03,Training: Center Pulsing - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=uu-WEbFHzlg,,,
V304,,P03,How to Hold the ProPulse® Speed Trainers,https://www.youtube.com/watch?v=rNnndvzJDrA,,,
V303,,P03,Getting Started with the ProPulse® Speed Trainers,https://www.youtube.com/watch?v=S2kr8P4BOuM,,,
V302,,P03,How to Start Running with the ProPulse® Speed Trainers,https://www.youtube.com/watch?v=t8J8nDBSUBs,,,
V301,,P03,Center Line Running - ProPulse® Speed Trainers,https://www.youtube.com/watch?v=wYJcuSW-beo,,,
